# ROSTER HISTÓRICO DE JEFES DE BLOQUE — curación manual (pedido de Valle, nota 2026-07-12)
# ALCANCE (acordado con Franco 2026-07-30): BLOQUES GRANDES 2005-2025. El período
#   vigente NO se cura acá: lo trae `jefes_bloque_oficial.csv` (scraper de la web
#   oficial, que marca "Presidente" por bloque). Los MONOBLOQUES históricos quedan
#   fuera a propósito: el jefe es el único integrante → señal nula.
# Consumido por origen_lider.py (señal lider_jefe_bloque), que UNE ambos CSV.
# confianza: ALTA (fuente explícita) | MEDIA (inferido) | REVISAR (validar Franco)
# hasta vacío = en el cargo al momento de la curación.
# COLUMNA `legislador_id` (agregada 2026-09-04, URGENTE 10 / ADR-0017)
#   El cruce por NOMBRE resolvia 50 de 80 jefes, y beta_2 quedaba atenuado por
#   error de medicion: con 21/80 daba +0,039 (p=0,88); con 50/80, +0,645
#   (p=0,0002). No cambio el efecto: bajo el ruido. Por eso el id va EXPLICITO y
#   deja de depender del matcheo laxo APELLIDO|PRIMER-NOMBRE.
#   Los ids salen de `datos/canonica` (votos_resuelto + actas_canonico), cruzando
#   apellido + nombres + camara + ventana de mandato.
#   Quedan 4 filas VACIAS A PROPOSITO. No es que no se encontro a la persona: es
#   que la canonica tiene DOS legislador_id para ella (duplicado de entity
#   resolution) y elegir uno le sacaria la mitad de las firmas al otro:
#     ROSSI, AGUSTIN       leg:3cc84340cad1 ("Rossi, Agustin Oscar", 2005-2026)
#                          leg:3a122de91183 ("ROSSI Agustin", 2011-2019)
#     STOLBIZER, MARGARITA leg:b067aa2a9852 ("Margarita Rosa", 2001-2017)
#                          leg:9c9abb302e88 ("Stolbizer, Margarita", 2001-2025)
#     ROYON, FLAVIA        leg:97bbbf7cc358 ("Royon, Flavia", n=112)
#                          leg:c4eabf6d9ca4 ("ROYON, FLAVIA GABRIELA", n=7)
#   Se completan cuando se resuelvan esos duplicados en datos/canonica (van a
#   URGENTE). Preferimos perder cobertura antes que asignarle la firma a un id
#   incompleto.
# ACTUALIZADO 2026-09-04 (URGENTE C): las filas que estaban vacias por tener DOS
# legislador_id para la misma persona ya se pueden completar. Franco aprobo 114 de
# los 153 pares del censo; el canonico es el de MAS votos. La tabla vive en
# `datos/canonica/data/alias_legislador_id.csv` y NO reescribe la canonica: se aplica
# solo a los cruces por id (`estimar_beta_dictamen` normaliza los dos lados).
nombre,camara,bloque,desde,hasta,periodo,confianza,fuente,nota,legislador_id
# ---------- KIRCHNERISMO (FpV -> FdT -> UxP): el bloque de gobierno u oposición mayor
"ROSSI, AGUSTIN",diputados,FRENTE PARA LA VICTORIA,2005-12-10,2013-05-30,2005-2013,ALTA,Infobae 28-11-2017; Perfil,7 años y 5 meses al frente; deja el cargo al ser ministro de Defensa,leg:3cc84340cad1
"DI TULLIO, JULIANA",diputados,FRENTE PARA LA VICTORIA,2013-05-30,2015-12-09,2013-2015,ALTA,"Diario de Cuyo 30-05-2013","reemplaza a Rossi (ministro); jefa hasta el fin del mandato de CFK",leg:4a6576cec5b4
"RECALDE, HECTOR",diputados,FRENTE PARA LA VICTORIA - PJ,2015-12-10,2017-12-09,2015-2017,ALTA,"Infobae 28-11-2017","jefe del bloque K durante los 2 primeros años de Macri",leg:ae2a6dda342a
"ROSSI, AGUSTIN",diputados,FRENTE PARA LA VICTORIA - PJ,2017-12-10,2019-12-09,2017-2019,ALTA,Infobae 28-11-2017; Perfil,segundo mandato como jefe de bloque,leg:3cc84340cad1
"KIRCHNER, MAXIMO",diputados,FRENTE DE TODOS,2019-12-10,2022-02-01,2019-2022,ALTA,"Diario de Cuyo 03-12-2019; Infobae 01-02-2022","renuncia por el acuerdo con el FMI",leg:feaf6b78347c
"MARTINEZ, GERMAN",diputados,FRENTE DE TODOS,2022-02-01,2023-12-09,2022-2023,ALTA,"Infobae 01-02-2022","asume tras la renuncia de Máximo Kirchner",leg:cf2221c8a98d
"MARTINEZ, GERMAN",diputados,UNION POR LA PATRIA,2023-12-10,,2023-,ALTA,"Infobae 07-12-2023 + web oficial HCDN","continúa; ratificado en 2025",leg:cf2221c8a98d
# ---------- PRO / CAMBIEMOS / JxC
"PINEDO, FEDERICO",diputados,PRO,2013-12-10,2015-12-09,2013-2015,ALTA,"La Nacion 01-12-2015 (nid1850460): Massot 'sera desde el 10 de diciembre el jefe del bloque Pro', sucediendo a Pinedo","jefatura confirmada por la nota de su sucesion. FECHA CORREGIDA el 04-09-2026: el hasta decia 2015-12-01 (la fecha de la nota); el recambio es el 10-dic, asi que Pinedo cierra el 09-12-2015",leg:f932f9618646
"MASSOT, NICOLAS",diputados,PRO,2015-12-01,2019-12-09,2015-2019,ALTA,Río Negro; Infobae 17-03-2019,jefe del bloque PRO durante todo el gobierno de Macri,leg:17c79731a836
